"ID";"node";"length";"weight";"degree"
1;"""19"", ""87"", ""252"", ""402"", ""497"", ""929"", ""930"", ""3146"", ""3156""";9;1;6
2;"""497"", ""931"", ""3146"", ""3180"", ""3345""";5;1;4
3;"""497"", ""931"", ""3157"", ""3180"", ""3345""";5;1;4
4;"""71"", ""402"", ""931"", ""3146"", ""3180""";5;1;4
5;"""25"", ""192"", ""328""";3;2;1
6;"""25"", ""27"", ""252""";3;1;3
7;"""49"", ""163"", ""1603""";3;1;0
8;"""3157"", ""3350""";2;1;1
9;"""57"", ""77""";2;1;0
10;"3146";1;2;3
11;"148";1;1;0
12;"252";1;1;2
