"ID";"endpoint.1";"endpoint.2";"items";"weight";"year"
1;1;2;"3146";1;2014
2;1;3;"3146";1;2014
3;1;4;"3146";1;2015
4;1;5;"3146";1;2014
5;1;6;"3146";1;2016
6;1;7;"3146";1;2015
7;2;3;"3146";1;2014
8;2;4;"3146";1;2015
9;2;5;"402/3146";2;2014
10;2;6;"402/3146";2;2016
11;2;7;"3146";1;2015
12;3;4;"3146";1;2015
13;3;5;"931/3146/3180";3;2014
14;3;6;"3146";1;2016
15;3;7;"931/3146/3180";3;2015
16;4;5;"3146";1;2015
17;4;6;"497/3146";2;2016
18;4;7;"497/3146";2;2015
19;5;6;"402/3146";2;2016
20;5;7;"931/3146/3180";3;2015
21;6;7;"497/3146";2;2016
