"ID";"endpoint.1";"endpoint.2";"items";"weight";"year"
1;1;8;"3146";1;2014
2;1;9;"3146";1;2014
3;1;10;"3146";1;2015
4;1;16;"3146";1;2014
5;1;18;"3146";1;2016
6;1;19;"3146";1;2015
7;2;7;"931/3180";2;2015
8;2;9;"931/3180";2;2014
9;2;16;"931/3180";2;2014
10;2;17;"931/3180";2;2015
11;2;19;"931/3180";2;2015
12;3;7;"497";1;2015
13;3;10;"497";1;2015
14;3;17;"497";1;2015
15;3;18;"497";1;2016
16;3;19;"497";1;2015
17;4;15;"252";1;2018
18;4;18;"252";1;2016
19;5;6;"25";1;2016
20;5;15;"25";1;2018
21;6;15;"25";1;2018
22;7;9;"931/3180";2;2015
23;7;10;"497";1;2015
24;7;16;"931/3180";2;2015
25;7;17;"497/931/3180/3345";4;2015
26;7;18;"497";1;2016
27;7;19;"497/931/3180/3345";4;2015
28;8;9;"3146";1;2014
29;8;10;"3146";1;2015
30;8;16;"402/3146";2;2014
31;8;18;"402/3146";2;2016
32;8;19;"3146";1;2015
33;9;10;"3146";1;2015
34;9;16;"931/3146/3180";3;2014
35;9;17;"931/3180";2;2015
36;9;18;"3146";1;2016
37;9;19;"931/3146/3180";3;2015
38;10;16;"3146";1;2015
39;10;17;"497";1;2015
40;10;18;"497/3146";2;2016
41;10;19;"497/3146";2;2015
42;11;12;"3157";1;2018
43;11;17;"3157";1;2015
44;12;17;"3157";1;2018
45;15;18;"252";1;2018
46;16;17;"931/3180";2;2015
47;16;18;"402/3146";2;2016
48;16;19;"931/3146/3180";3;2015
49;17;18;"497";1;2016
50;17;19;"497/931/3180/3345";4;2015
51;18;19;"497/3146";2;2016
52;13;13;"";0;2014
53;14;14;"";0;2014
54;20;20;"";0;2015
