"ID";"pattern";"year";"frequency";"weight";"order";"specificity";"status"
1;"3146";2014;4;5;1;0,04;"Emergent"
2;"""931"", ""3180""";2014;3;3;2;0,21;"Emergent"
3;"497";2015;3;3;1;0,21;"Emergent"
4;"252";2016;3;3;1;0,21;"Persistent"
5;"25";2016;2;3;1;0,54;"Persistent"
6;"""25"", ""192"", ""328""";2016;1;2;3;1;"Emergent"
7;"""497"", ""931"", ""3180"", ""3345""";2015;2;2;4;0,5;"Emergent"
8;"""402"", ""3146""";2014;2;2;2;0,5;"Emergent"
9;"""931"", ""3146"", ""3180""";2014;2;2;3;0,5;"Emergent"
10;"""497"", ""3146""";2015;2;2;2;0,5;"Emergent"
11;"3157";2015;2;2;1;0,5;"Persistent"
12;"""3157"", ""3350""";2018;1;1;2;1;"Persistent"
13;"""57"", ""77""";2013;1;1;2;1;"Emergent"
14;"""49"", ""163"", ""1603""";2016;1;1;3;1;"Emergent"
15;"""25"", ""27"", ""252""";2018;1;1;3;1;"Persistent"
16;"""71"", ""402"", ""931"", ""3146"", ""3180""";2014;1;1;5;1;"Emergent"
17;"""497"", ""931"", ""3157"", ""3180"", ""3345""";2015;1;1;5;1;"Emergent"
18;"""19"", ""87"", ""252"", ""402"", ""497"", ""929"", ""930"", ""3146"", ""3156""";2016;1;1;9;1;"Emergent"
19;"""497"", ""931"", ""3146"", ""3180"", ""3345""";2015;1;1;5;1;"Emergent"
20;"148";2011;1;1;1;1;"Emergent"
